label,sport_and_travel,buy_and_sell,health_and_family,jobs,love,social_learning,suport,new,comic_and_film,music,gaming,school_and_class,club
__label__35-44,0,27,6,1,3,4,0,0,0,2,1,0,11
__label__25-34,1,9,1,3,0,0,0,0,0,0,0,0,4
__label__18-24,0,1,0,0,0,0,0,1,0,0,1,0,0
__label__25-34,1,2,0,4,0,11,0,2,1,1,0,0,7
__label__18-24,0,12,2,1,4,2,0,2,0,0,0,0,5
__label__18-24,0,3,9,4,2,4,0,0,1,0,0,1,9
__label__45-54,1,0,2,0,1,0,0,0,0,0,0,0,1
__label__35-44,0,0,1,0,0,0,0,0,0,0,0,0,2
__label__18-24,0,1,0,0,1,0,0,0,0,0,1,0,1
__label__25-34,0,0,0,1,0,4,0,0,0,1,0,3,2
__label__55+,0,2,3,1,2,0,0,1,0,4,0,0,2
__label__25-34,0,0,1,0,0,0,0,0,0,0,0,0,1
__label__55+,0,2,0,1,0,0,0,0,0,1,0,0,0
__label__55+,0,0,1,0,1,0,0,0,0,2,0,0,0
__label__25-34,0,2,1,1,0,0,0,1,0,0,1,0,1
__label__35-44,0,0,0,0,0,0,0,0,0,0,0,1,1
__label__25-34,0,78,21,11,4,3,0,0,0,2,1,0,23
__label__18-24,1,5,2,0,7,1,0,0,0,0,1,0,8
__label__18-24,0,7,1,3,0,8,0,1,0,0,0,2,6
__label__45-54,2,1,1,0,0,0,0,0,0,0,0,0,0
__label__25-34,0,0,0,0,2,0,1,0,0,0,0,1,0
__label__25-34,0,0,1,2,1,0,0,0,0,2,0,0,2
__label__18-24,0,0,1,0,0,0,0,0,1,0,0,0,1
__label__55+,0,0,3,0,1,0,0,0,0,1,0,1,0
__label__55+,0,2,0,0,0,0,0,0,0,0,0,0,3
__label__18-24,0,0,0,0,0,0,0,0,0,0,1,0,1
__label__18-24,0,12,6,7,3,0,0,0,0,0,3,1,3
__label__35-44,0,5,0,0,3,0,0,0,0,0,0,2,10
__label__55+,0,0,2,1,0,0,0,2,0,1,0,3,4
__label__35-44,0,18,11,3,3,0,0,1,0,3,0,0,7
__label__45-54,0,1,2,0,0,1,0,0,0,0,0,0,1
__label__18-24,0,1,0,1,1,0,0,0,0,0,0,0,1
__label__45-54,0,3,0,0,0,0,0,0,0,0,0,0,2
__label__35-44,0,2,0,1,0,0,0,1,0,0,0,0,3
__label__25-34,1,54,30,18,7,10,0,3,0,2,0,3,22
__label__18-24,1,2,3,0,3,0,0,0,0,0,0,0,3
__label__18-24,0,0,0,0,0,2,0,0,0,0,0,0,3
__label__18-24,0,0,6,1,1,2,0,0,1,0,0,1,2
__label__18-24,0,0,2,2,0,2,0,0,0,0,0,0,2
__label__35-44,0,0,1,0,1,0,0,0,1,0,0,0,0
__label__25-34,1,19,0,0,1,0,0,0,0,0,0,0,3
__label__35-44,0,6,5,2,0,3,0,0,0,0,0,1,12
__label__25-34,0,2,2,2,1,0,0,0,0,0,0,0,3
__label__18-24,0,0,0,0,2,0,0,0,0,0,0,0,0
__label__55+,0,0,1,0,0,0,0,0,0,1,0,0,0
__label__35-44,0,32,8,4,3,2,0,0,0,1,0,0,10
__label__25-34,0,7,1,0,5,1,0,1,1,2,1,0,14
__label__45-54,0,1,0,0,1,0,0,0,0,0,0,1,0
__label__18-24,1,2,4,1,3,0,0,0,0,0,0,0,0
__label__25-34,0,1,6,3,1,4,1,0,0,3,0,1,4
__label__18-24,0,0,1,0,0,1,0,0,0,0,0,0,0
__label__18-24,1,1,3,0,1,0,0,1,0,1,2,0,4
__label__25-34,0,3,0,0,2,0,0,2,0,0,0,0,2
__label__45-54,1,2,3,0,0,2,0,1,2,2,0,0,3
__label__35-44,0,12,3,3,0,1,0,1,0,0,1,0,10
__label__35-44,0,0,4,0,0,0,0,0,0,0,0,0,0
__label__25-34,0,5,3,0,0,0,0,0,0,0,1,1,3
__label__18-24,0,2,1,1,0,1,0,0,0,0,0,0,3
__label__45-54,0,1,1,0,2,0,0,0,0,0,0,0,0
__label__18-24,1,3,1,0,0,0,0,1,0,0,0,0,1
__label__18-24,0,0,0,0,0,0,0,0,0,0,2,0,1
__label__35-44,0,3,0,1,1,0,0,1,0,0,0,2,1
__label__25-34,0,1,0,0,0,0,0,0,0,0,0,0,1
__label__55+,0,2,2,0,0,0,0,0,0,0,0,0,0
__label__35-44,0,3,1,0,1,0,0,1,0,1,0,0,3
__label__45-54,0,1,0,1,0,0,0,0,0,0,0,0,1
__label__25-34,0,2,2,0,0,0,0,0,0,0,0,0,3
__label__45-54,0,0,1,0,0,1,0,0,0,0,0,0,0
__label__45-54,0,1,2,0,0,0,0,0,0,0,0,0,0
__label__35-44,1,6,5,0,3,0,1,0,0,0,0,1,6
__label__25-34,0,0,0,0,0,0,0,0,0,0,0,2,0
__label__35-44,0,0,2,0,1,0,0,0,0,0,0,0,1
__label__25-34,0,77,22,7,8,0,1,0,0,0,1,0,7
__label__18-24,1,0,2,0,0,3,0,0,0,0,0,2,5
__label__45-54,0,1,0,0,0,0,0,2,0,0,0,0,1
__label__18-24,1,1,0,1,0,0,0,0,0,0,1,0,1
__label__35-44,0,3,0,0,0,0,0,0,0,0,0,0,0
__label__45-54,0,0,0,0,0,0,0,0,0,0,0,1,1
__label__45-54,0,1,1,0,1,1,0,0,0,0,0,0,4
__label__25-34,1,13,12,0,7,1,0,0,0,1,0,0,1
__label__45-54,0,2,0,0,1,0,0,1,0,0,1,0,7
__label__25-34,0,10,4,0,2,1,1,1,1,1,6,1,8
__label__18-24,2,9,12,5,2,1,0,0,2,0,0,3,11
__label__55+,0,3,3,0,6,1,0,1,0,46,0,0,3
__label__35-44,0,8,0,0,1,0,0,0,1,0,0,0,8
__label__18-24,0,0,1,0,0,1,0,0,0,0,0,0,1
__label__25-34,0,17,17,3,1,0,0,0,0,0,0,0,3
__label__25-34,1,3,0,0,2,1,1,0,0,0,0,0,1
__label__25-34,0,8,3,9,0,2,0,1,0,0,0,0,0
__label__35-44,0,36,14,2,0,7,0,0,0,2,0,0,30
__label__45-54,0,0,1,0,0,0,0,0,0,0,0,0,1
__label__18-24,0,2,0,0,0,2,0,0,0,0,0,0,0
__label__45-54,1,1,3,0,0,0,0,0,0,1,0,0,1
__label__18-24,0,0,0,0,2,0,0,0,0,0,14,0,3
__label__25-34,0,1,1,0,1,0,0,0,0,1,0,2,2
__label__25-34,0,3,1,0,2,0,0,0,0,0,0,0,2
__label__35-44,0,0,1,0,2,0,0,0,0,0,0,0,1
__label__25-34,0,3,2,0,2,0,0,1,0,0,0,2,1
__label__18-24,0,2,1,0,0,0,0,0,0,0,0,0,0
__label__45-54,0,1,0,0,0,1,0,0,0,0,0,0,1
__label__18-24,0,0,0,0,0,1,0,0,0,0,0,0,1
__label__25-34,0,0,1,0,1,0,0,0,0,0,0,0,1
__label__18-24,0,0,0,0,0,1,0,0,0,0,1,0,1
__label__45-54,0,0,0,0,0,0,0,0,0,0,0,1,1
__label__25-34,0,0,1,0,2,0,0,0,0,0,0,0,1
__label__18-24,0,0,0,0,1,1,0,0,0,0,2,1,1
__label__45-54,0,3,1,0,2,0,0,0,0,0,0,0,4
__label__45-54,0,0,1,0,0,0,0,0,0,0,0,1,1
__label__35-44,0,3,0,0,1,1,0,1,0,1,0,0,1
__label__45-54,1,1,0,0,0,0,0,0,0,0,0,0,0
__label__35-44,0,0,1,0,2,0,0,0,0,0,0,0,1
__label__55+,0,0,0,1,0,0,0,0,0,0,0,0,3
__label__18-24,0,1,2,0,1,0,0,0,0,0,0,0,0
__label__18-24,0,0,0,1,0,1,0,0,0,0,0,1,0
__label__35-44,0,1,3,0,0,0,0,0,0,1,0,0,1
